model_class	performance	accuracy	f1_score	sensitivity	specificity	precision	roc_auc	pr_auc	memory_size	epoch	trial_number	trial_params	model_id
LightAttention	0.840091923269167	0.809527850983187	0.807588808288043	0.809527850983187	0.993886707363219	0.827318508098785	0.952905844737368	0.792858244248934	91.2265739440918	13	3	[[""""kernel_size"""", 11], [""""conv_dropout_rate"""", 0.18493564427131048], [""""layer_size_percentage"""", 0.2], [""""num_layers"""", 1]]	LightAttention_f3a5ad66-2317-44aa-b7bc-d416756d11af
LightAttentionFastKAN	0.83771678752332	0.82020348594409	0.819393218836896	0.82020348594409	0.990163167877118	0.82838968707276	0.953479742498592	0.753268671324781	120.191509246826	13	6	[[""""kernel_size"""", 5], [""""conv_dropout_rate"""", 0.13906884560255356], [""""layer_size_percentage"""", 0.5], [""""num_layers"""", 2], [""""grid_diff"""", 1.0], [""""num_grids"""", 6]]	LightAttentionFastKAN_434ee804-6b78-4398-b09a-71e0e927402d
AttentionFastKAN	0.831327003640192	0.803756459318218	0.803309212333413	0.803756459318218	0.991367229778577	0.818565955354929	0.952164165230701	0.768073337855907	1615.30766296387	16	19	[[""""reduced_seq_len"""", 15], [""""layer_size_percentage"""", 0.24], [""""num_layers"""", 2], [""""grid_diff"""", 2.0], [""""num_grids"""", 4]]	AttentionFastKAN_2f1d5faa-338e-4b24-9b65-d8942322dd4e
LstmReductionHybrid	0.826774776063329	0.800314550300465	0.800930776397345	0.800314550300465	0.988505547570492	0.819163119018416	0.946859760760253	0.755700501587416	450.595794677734	11	13	[[""""reduced_seq_len"""", 50], [""""lstm_hidden_size"""", 128], [""""lstm_num_layers"""", 3], [""""dropout_rate"""", 0.19985013233647586], [""""layer_size_percentage"""", 0.1], [""""num_layers"""", 2]]	LstmReductionHybrid_e0cafcc8-7bc9-489d-bc09-6091b4769c5b
AttentionMLP	0.823254372060829	0.797861868523218	0.796551098847752	0.797861868523218	0.991912300214842	0.814079936682924	0.942775445401561	0.748608418383408	1322.01250457764	14	15	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.6000000000000001], [""""num_layers"""", 2]]	AttentionMLP_50e0f1bf-0efc-4999-87cd-4a41ff029867
AttentionLstmHybrid	0.816099950968783	0.783335842953079	0.78291086460364	0.783335842953079	0.992035660705989	0.806885924168775	0.952637480556018	0.74792548484898	75.5768127441406	10	13	[[""""attention_num_heads"""", 8], [""""lstm_hidden_size"""", 448], [""""lstm_num_layers"""", 3], [""""layer_size_percentage"""", 0.12000000000000001], [""""num_layers"""", 1]]	AttentionLstmHybrid_3cf97881-e134-4eeb-8c8e-1dbcfdd7b880
PositionalFastKAN	0.811444876936099	0.76416107539806	0.761922285349945	0.764161075398059	0.993411616853566	0.803162013260198	0.951514168387038	0.776447551649891	130.9873046875	10	16	[[""""reduced_seq_len"""", 10], [""""reduced_channels"""", 576], [""""layer_size_percentage"""", 0.13999999999999999], [""""num_layers"""", 1], [""""grid_diff"""", 2.0], [""""num_grids"""", 6]]	PositionalFastKAN_fcb7fd89-8977-4c93-8666-758a6e7d9dc5
UNetMLP	0.811310761355514	0.78549629890834	0.784915677496048	0.78549629890834	0.989432988257259	0.797891300145776	0.942628929885443	0.729423046490328	601.108997344971	10	16	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 512], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 2]]	UNetMLP_6b51bbbb-7e63-4310-97a1-e13462cba867
UNetFastKAN	0.810886264830617	0.780415478250558	0.778169765990503	0.780415478250558	0.993547971195264	0.809981296873936	0.93251958329144	0.73581757499677	548.398330688477	18	1	[[""""reduced_seq_len"""", 10], [""""reduced_channels"""", 960], [""""layer_size_percentage"""", 0.16], [""""num_layers"""", 3], [""""grid_diff"""", 1.0], [""""num_grids"""", 8]]	UNetFastKAN_f3c0f112-5029-49fa-9e91-3f64137ab8b5
PositionalMLP	0.806330992017912	0.775118023172465	0.773482207631868	0.775118023172464	0.991552400335134	0.799092461503807	0.944277334149423	0.728166945433752	398.286170959473	16	4	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 640], [""""layer_size_percentage"""", 0.5], [""""num_layers"""", 2]]	PositionalMLP_bb381143-75c8-4137-ad15-bd694b9f5089
AvgPoolFastKAN	0.792344654951028	0.756355224207029	0.755060244062291	0.756355224207029	0.989692817191458	0.774695376034403	0.943492097439679	0.720420415019124	595.263511657715	19	18	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.18], [""""num_layers"""", 3], [""""grid_diff"""", 2.0], [""""num_grids"""", 7]]	AvgPoolFastKAN_2417ca3e-8ac4-41a5-ae9a-b34ca8b943c1
AvgPoolMLP	0.791803792243621	0.749565287238067	0.745197930693918	0.749565287238067	0.991451271207306	0.783490899774899	0.954655233410298	0.725876977000079	189.735897064209	15	7	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.4], [""""num_layers"""", 3]]	AvgPoolMLP_93779dce-6eeb-4149-9cce-668f6f029833
MaxPoolFastKAN	0.784448096671855	0.726968163181311	0.728607026879682	0.726968163181311	0.991664045337077	0.78086735700026	0.95171438456089	0.742811108209953	320.398506164551	15	8	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.1], [""""num_layers"""", 1], [""""grid_diff"""", 3.0], [""""num_grids"""", 5]]	MaxPoolFastKAN_5bd927f6-1415-427f-8c20-2a3954e0eaa6
LinearMLP	0.780236328530026	0.728565679399252	0.72372215967373	0.728565679399252	0.99130539431907	0.764278253961727	0.968454207644991	0.726314627398549	1920.67191314697	7	1	[[""""reduced_seq_len"""", 40], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 1]]	LinearMLP_9b31668f-9e4d-4f52-aeee-035efcfc60a9
MaxPoolMLP	0.76631600250099	0.715281583804699	0.704273782676137	0.715281583804699	0.991396603235394	0.758496013136391	0.963251940099489	0.699163471519299	1920.51566314697	16	1	[[""""reduced_seq_len"""", 40], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 1]]	MaxPoolMLP_f9950ba2-a76c-42f3-9e53-32f102fcc7fe
LinearFastKAN	0.763270804760584	0.71695422520246	0.715279594270698	0.71695422520246	0.987701338644681	0.75364858192051	0.946019902059908	0.683633322062097	712.87654876709	8	32	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.24], [""""num_layers"""", 3], [""""grid_diff"""", 2.0], [""""num_grids"""", 4]]	LinearFastKAN_cb3b1f89-79da-4b5b-8395-dd4be042dd32
